loyalty_id,phone,date_joined,loyalty,birthday,email,is_active,shop_id
LID0001,+18074424661,2022-09-14,True,1979-09-20,user1@example.com,False,1
LID0002,+17947302289,2024-07-21,True,1986-12-15,user2@example.com,False,1
LID0003,+13086740390,2023-11-06,True,1976-06-23,user3@example.com,True,1
LID0004,+11919295801,2024-08-17,False,1975-01-17,user4@example.com,True,1
LID0005,+18127406332,2023-05-12,True,1976-11-13,user5@example.com,True,1
LID0006,+14423525445,2022-12-13,True,2002-03-22,user6@example.com,False,1
LID0007,+17124375621,2023-01-22,False,1978-06-09,user7@example.com,False,1
LID0008,+12915887832,2022-10-18,True,2001-03-08,user8@example.com,True,1
LID0009,+17585341612,2022-08-04,False,1995-12-06,user9@example.com,False,1
LID0010,+16356357256,2023-04-05,True,2002-08-24,user10@example.com,False,1
LID0011,+19538769799,2023-03-13,False,1980-06-18,user11@example.com,True,1
LID0012,+11807347594,2024-08-12,False,1987-02-13,user12@example.com,True,1
LID0013,+12142875761,2022-04-13,False,1980-03-07,user13@example.com,False,1
LID0014,+14340276981,2023-10-20,False,1993-08-01,user14@example.com,False,1
LID0015,+16704682873,2024-10-11,False,1978-04-29,user15@example.com,True,1
LID0016,+12917787974,2023-03-31,True,1988-08-20,user16@example.com,False,1
LID0017,+16725797097,2022-05-29,False,1990-09-21,user17@example.com,False,1
LID0018,+18938230560,2021-12-19,True,1998-07-13,user18@example.com,False,1
LID0019,+17312945446,2023-03-01,False,1995-11-17,user19@example.com,False,1
LID0020,+11744676478,2024-04-03,True,1988-08-27,user20@example.com,False,1
LID0021,+18970742495,2023-01-04,False,1993-10-25,user21@example.com,True,1
LID0022,+15850938451,2022-11-18,True,1979-10-30,user22@example.com,True,1
LID0023,+15109489210,2022-10-03,False,1984-03-28,user23@example.com,True,1
LID0024,+17087458366,2023-03-04,False,1997-01-04,user24@example.com,True,1
LID0025,+12651001117,2022-02-22,True,1989-03-04,user25@example.com,True,1
LID0026,+19650750798,2024-03-13,False,1980-01-24,user26@example.com,False,1
LID0027,+15998342780,2024-02-04,False,1990-12-28,user27@example.com,False,1
LID0028,+12227331079,2022-01-15,False,1981-02-24,user28@example.com,False,1
LID0029,+11272956898,2022-04-07,True,1992-11-17,user29@example.com,True,1
LID0030,+12018284793,2024-08-12,True,1978-11-20,user30@example.com,False,1
LID0031,+14751455507,2022-11-03,False,1994-03-08,user31@example.com,False,1
LID0032,+15500078196,2022-08-21,False,1994-10-30,user32@example.com,True,1
LID0033,+11029916152,2022-09-25,False,1996-12-19,user33@example.com,False,1
LID0034,+13248653736,2022-02-03,False,1997-01-14,user34@example.com,True,1
LID0035,+11081430938,2024-01-04,False,1994-01-09,user35@example.com,True,1
LID0036,+12366251410,2023-09-25,True,1996-01-04,user36@example.com,True,1
LID0037,+14418593117,2024-10-22,True,1984-07-20,user37@example.com,False,1
LID0038,+14124073667,2024-10-25,False,1997-12-16,user38@example.com,False,1
LID0039,+13457748052,2023-10-12,False,2002-04-08,user39@example.com,False,1
LID0040,+15642854504,2022-02-01,True,1986-04-12,user40@example.com,True,1
LID0041,+14624193407,2023-02-10,True,2003-02-01,user41@example.com,True,1
LID0042,+13396588114,2021-12-13,False,1989-10-12,user42@example.com,False,1
LID0043,+18099564905,2022-11-25,True,1989-09-07,user43@example.com,True,1
LID0044,+15224166491,2022-08-23,False,1998-09-12,user44@example.com,False,1
LID0045,+15963529589,2022-12-25,False,2002-11-04,user45@example.com,False,1
LID0046,+15201038442,2023-04-27,False,1977-02-28,user46@example.com,False,1
LID0047,+12170482703,2022-10-12,True,1989-01-02,user47@example.com,False,1
LID0048,+14050515028,2023-11-07,False,1984-12-13,user48@example.com,False,1
LID0049,+19076862065,2022-03-11,False,1999-10-02,user49@example.com,True,1
LID0050,+15237003683,2024-04-21,True,1984-08-17,user50@example.com,True,1
LID0051,+15243481063,2023-05-30,True,1982-02-20,user51@example.com,False,1
LID0052,+18590562683,2023-10-24,False,2000-02-03,user52@example.com,True,1
LID0053,+18865438215,2023-12-24,True,1987-03-20,user53@example.com,False,1
LID0054,+14910770219,2024-01-27,True,2003-06-18,user54@example.com,False,1
LID0055,+18279873263,2022-12-14,False,2002-08-30,user55@example.com,True,1
LID0056,+16581741975,2023-09-05,True,1998-11-01,user56@example.com,False,1
LID0057,+19701567953,2022-11-11,True,1991-07-16,user57@example.com,False,1
LID0058,+13403054229,2022-05-23,False,1990-05-05,user58@example.com,False,1
LID0059,+19634196765,2022-04-21,False,2004-09-03,user59@example.com,False,1
LID0060,+11174062659,2024-08-23,True,1979-03-27,user60@example.com,True,1
LID0061,+16210144971,2022-10-12,True,1990-04-01,user61@example.com,False,1
LID0062,+15144163170,2021-11-23,True,1999-11-07,user62@example.com,True,1
LID0063,+17356735718,2023-11-09,True,1994-02-10,user63@example.com,False,1
LID0064,+18083891065,2023-03-27,False,1999-11-02,user64@example.com,False,1
LID0065,+11645361553,2024-07-16,True,1986-12-01,user65@example.com,False,1
LID0066,+14845648202,2024-03-01,False,1996-03-16,user66@example.com,True,1
LID0067,+17799413614,2022-11-01,False,1980-04-02,user67@example.com,False,1
LID0068,+17861323584,2022-02-03,True,1998-03-29,user68@example.com,False,1
LID0069,+16183423501,2021-11-14,False,2003-02-07,user69@example.com,True,1
LID0070,+16135379840,2022-09-13,False,1981-12-28,user70@example.com,False,1
LID0071,+11653898247,2022-05-21,True,1995-05-26,user71@example.com,True,1
LID0072,+14449419155,2023-10-07,False,1975-06-16,user72@example.com,True,1
LID0073,+14041343491,2023-04-19,True,2004-02-21,user73@example.com,False,1
LID0074,+16805933726,2022-11-22,False,1978-07-25,user74@example.com,True,1
LID0075,+14606631467,2021-11-26,False,1998-12-10,user75@example.com,False,1
LID0076,+14688371303,2023-07-13,False,1976-12-17,user76@example.com,False,1
LID0077,+17924264671,2023-02-23,True,1988-06-23,user77@example.com,True,1
LID0078,+19790877841,2023-09-22,True,1981-10-03,user78@example.com,False,1
LID0079,+11809670344,2023-05-31,False,1982-11-10,user79@example.com,True,1
LID0080,+15323746836,2022-06-14,True,1999-11-21,user80@example.com,True,1
LID0081,+11669603085,2024-03-08,True,1995-09-24,user81@example.com,False,1
LID0082,+19277692953,2023-10-08,False,1985-02-19,user82@example.com,True,1
LID0083,+12212735557,2023-08-12,False,1980-12-15,user83@example.com,False,1
LID0084,+11430739066,2024-05-24,True,2000-10-03,user84@example.com,True,1
